summary,product,platform,whatHappen,howHappen,shouldHappen,Status,Priority,user_id,developer_id,reviewer_id
Features not working,Coinhako,Website,The pocket animation does not play,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Features should load properly,Unassigned,Low,10,26,21
Page glitching out,Google,Website,Save Page to Pocket) where there should be none,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Unassigned,High,17,49,27
Pictures not loading,Yahoo,Mobile Webpage,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Reviews box not supposed to be whited out,Unassigned,High,47,15,8
Page glitching out,Lazada,Mobile Application,The text cursor and chars are always visible while typing a tag,1.Click add tags to field 2.Click submit 3.Observe the tags and fields does not match,Should be able to access normally,Done,High,29,18,42
Unable to access,Netflix,Mobile Webpage,The pocket animation does not play,1.Click add tags to the pocket field 2.In the pop up dialogue click submit with & typed in,Features should load properly,Work in progress,High,16,9,38
Cursor mismatch,Gmail,Mobile Webpage,Two Pocket-related context menu items appear (Save Link to Pocket,1.Sign in to pocket 2.Save to pocket 3.Refresh again,The Learn more hyperlink from the Save to Pocket modal is focused,Unassigned,Low,10,23,19
User is able to save Pocket to itself,Binance,Desktop Webpage,Page cannot load despite refreshing multiple times,1.Press enter and save 2.Press down arrow and observe the elements,The text cursor and chars are partially out of the text field view,Work in progress,Low,2,49,5
Text not displayed properly,Shopback,Desktop Application,The TypeError: contentWindow is null error message is listed,1.Open the browser and navigate to a random website 2.Click on link 3.Leave box in tag,Features should load properly,Unassigned,Low,47,1,5
Page glitching out,Shopback,Desktop Webpage,Save Page to Pocket) where there should be none,1.Click on object 2.Load the pictures 3.Pictures not loading,The text cursor and chars are partially out of the text field view,Work in progress,Low,33,18,43
User is able to save Pocket to itself,Binance,Desktop Webpage,The TypeError: contentWindow is null error message is listed,1.Sign in to pocket 2.Save to pocket 3.Refresh again,Features should load properly,Work in progress,Low,10,40,42
Cursor mismatch,Amazon,Mobile Application,Box is not whited out but unable to type anything inside,1.Click on object 2.Load the pictures 3.Pictures not loading,Reviews box not supposed to be whited out,Unassigned,Low,10,37,22
